Categories,% Alarming,% Positive,% Negative
PRESIDENCE_RDC,0.0,82.222,17.778
FATSHI,0.0,68.447,31.553
TSHISEKEDI,0.0,0.0,0.0
TSHILOMBO,0.0,100.0,31.553
BETON,0.0,92.803,7.197
KITENGE YESU,0.0,0.0,0.0
TINA SALAMA,0.0,0.0,0.0
,,,
UDPS,0.0,94.153,5.847
JEAN MARC KABUND,0.0,0.0,0.0
2 BONBONS,0.0,70.042,29.958
KABUYA,0.0,60.0,40.0
WEWA,0.0,0.0,0.0
TALIBAN,0.0,96.467,3.533
TSHISEKEDISTE,0.0,0.0,0.0
LUBA,0.0,94.737,5.263
KASAI,0.0,82.051,17.949
BALUBA,0.0,96.0,4.0
,,,
Opposition,0.0,82.857,17.143
FAYULU,0.0,87.5,12.5
MARTIN FAYULU,0.0,87.5,100.0
MADIDI,0.0,100.0,100.0
MOISE KATUMBI,0.0,80.0,20.0
JEAN PIERRE BEMBA,0.0,0.0,0.0
MUZITO,0.0,80.0,100.0
MOZITO,0.0,0.0,0.0
MUZITU,0.0,0.0,0.0
,,,
FCC,0.0,95.161,4.839
JOSEPH KABILA,0.0,54.902,45.098
KABANGE,0.0,100.0,45.098
KANAMBE,0.0,50.0,50.0
SHINA RAMBO,0.0,0.0,0.0
YEMEYI,0.0,0.0,0.0
YE MEYI,0.0,0.0,0.0
KABILISTE,0.0,0.0,0.0
MINAKU,0.0,0.0,0.0
AUBIN MINAKU,0.0,0.0,0.0
THAMBUE MUAMBA,0.0,0.0,0.0
ATM,0.0,95.693,4.307
TAMBUE MWAMBA,0.0,0.0,0.0
MABUNDA,0.0,100.0,4.307
,,,
